airport name,airport code
CHESTER COUNTY G O CARLSON ARPT,CTH
SNOHOMISH CO (PAINE FIELD),PAE
ST. LUCIE COUNTY INTL ARPT,FPR
MEACHAM FT WORTH,FTW
GRAND JUNCTION REGIONAL ARPT,GJT
IDAHO FALLS REGIONAL ARPT,IDA
MBS INTL,MBS
REPUBLIC AIRPORT,FRG
CAPITAL CITY ARPT (PA),HAR
GREENVILLE-SPARTANBURG INTL,GSP
ASHEVILLE REGIONAL ARPT,AVL
ST LOUIS DOWNTOWN,CPS
MOBILE DOWNTOWN ARPT,BFM
PULLMAN-MOSCOW REGIONAL,PUW
GENERAL ESCOBEDO INTL,MTY
MCNARY FLD ARPT,SLE
BOWMAN FIELD,LOU
PIEDMONT TRIAD INTL,GSO
FLOYD BENNETT MEMORIAL,GFL
PU DONG INTL ARPT,PVG
AMSTERDAM SCHIPHOL,AMS
WEST BEND MUNICIPAL ARPT,ETB
GREATER ROCKFORD,RFD
GRAND CANYON WEST,GCW
KEY WEST INTL ARPT,EYW
EPHRAIM- FISH CREEK,3D2
NUT TREE AIRPORT,KVC
SACRAMENTO EXECUTIVE ARPT,SAC
MONTEREY PENINSULA,MRY
JOE FOSS FIELD ARPT,FSD
CHEYENNE REGIONAL ARPT,CYS
TRI-STATE MILTON FERGUSON,HTS
CYRIL E KING ARPT,STT
LONG BEACH-DAUGH FLD,LGB
ABILENE REGIONAL ARPT,ABI
TEXARKANA-WEBB FIELD,TXK
INDIRA GANDHI INTL,DEL
HAMILTON,YHM
WILL ROGERS WORLD ARPT,OKC
LEBANON MUNICIPAL ARPT,LEB
GRAND FORKS INTL,GFK
HILTON HEAD ISLAND,HHH
WILLOW RUN ARPT,YIP
GROSSE ILE MUNICIPAL ARPT,KON
LAKELAND LINDER REGIONAL,LAL
SHEREMETYEVO INTL,SVO
CIUDAD DEL ESTE GARCIA,AGT
SOUTH BEND REGIONAL,SBN
OUTAGAMIE COUNTY REGIONAL,ATW
MAHLON SWEET FLD,EUG
QUONSET STATE ARPT,NCO
CLARK INTL,CRK
SOUTHWEST GEORGIA REGIONAL ARPT,ABY
EASTERN WEST VIRGINIA REGIONAL ARPT,MRB
BOEING FIELD K C INT,MCI
SAIPAN INTL,SPN
WILLIAMSON COUNTY REGIONAL,MWA
CENTENNIAL ARPT,APA
WALLA WALLA REGIONAL,ALW
JIM HOGG COUNTY AROT,OGG
HAWTHORNE MUNICIPAL ARPT,HHR
PETALUMA MUNICIPAL ARPT,O69
SONOMA COUNTY ARPT,STS
LANAI ARPT,LNY
TUCSON INTL,TUS
JOHNSON COUNTY EXECUTIVE ARPT,OJC
ROSWELL INTL AIR CENTER,ROW
ALBERT J ELLIS,OAJ
NEW TOKYO INTL,NRT
HECTOR INTERNATIONAL,FAR
SCHENECTADY COUNTY,SCH
LONDON-LUTON ARPT,LTN
PUNTA CANA INTL,PUJ
DILLANT-HOPKINS ARPT,EEN
SALISBURY-WICOMICO,SBY
CORPUS CHRISTI INTL ARPT,CRP
MONROE REGIONAL ARPT,MLU
BARNSTABLE MUNICIPAL,HYA
ROBERTSON FIELD,4B8
MODESTO CITY-COUNTY,MOD
YELLOWSTONE ARPT,WYS
DEER PARK ARPT,DPK
SANGSTER INTL,MBJ
ZELIENOPLE MUNICIPAL,KPJ
LORAIN COUNTY REGIONAL ARPT,LPR
CECIL ARPT,VQQ
BOLTON FIELD ARPT,KTZ
ST LOUIS REGIONAL,ALN
EASTON/NEWMAN FIELD ARPT,ESN
